id,Label,structured_text
421,4,title: introspecting preferences in answer set programming. [SEP] venue: iclp [SEP] year: 2018 [SEP] doi publisher: 10.1017 [SEP] doi source: cbo
319,2,title: modelling and verification of timed systems with the event calculus and s casp . [SEP] venue: iclp [SEP] year: 2021 [SEP] doi publisher: 10.1017 [SEP] doi source: cbo
298,1,title: apia: an architecture for policy-aware intentional agents. [SEP] venue: iclp [SEP] year: 2021 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
441,2,title: design of a solver for multi-agent epistemic planning. [SEP] venue: iclp [SEP] year: 2019 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
119,5,title: computational methods for dynamic answer set programming. [SEP] venue: iclp [SEP] year: 2024 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
457,5,title: graph based answer set programming solver systems. [SEP] venue: iclp [SEP] year: 2021 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
460,5,title: splitting a hybrid asp program. [SEP] venue: iclp [SEP] year: 2020 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
488,3,title: logical foundations of smart contracts. [SEP] venue: iclp [SEP] year: 2024 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
431,3,title: pushdown reward machines for reinforcement learning. [SEP] venue: kr [SEP] year: 2025 [SEP] doi publisher: 10.24963 [SEP] doi source: kr
369,5,title: beyond logic programming for legal reasoning. [SEP] venue: iclp [SEP] year: 2023 [SEP] doi publisher: 10.1007 [SEP] doi source: none
514,1,title: proceedings 41st international conference on logic programming iclp 2025 rende italy 12-19th september 2025. [SEP] venue: iclp [SEP] year: 2026 [SEP] doi publisher: 10.1007 [SEP] doi source: none
290,5,title: operationalizing declarative and procedural knowledge: a benchmark on logic programming petri nets lppns . [SEP] venue: iclp [SEP] year: 2020 [SEP] doi publisher: 10.1007 [SEP] doi source: none
266,5,title: enhancing compilation-based asp solving with postponed atom discovery. [SEP] venue: iclp [SEP] year: 2025 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
542,2,title: preferential reasoning with typicality in asp over weighted argumentation graphs in a gradual semantics. [SEP] venue: iclp [SEP] year: 2023 [SEP] doi publisher: 10.3233 [SEP] doi source: ia
366,1,title: adapting approximation fixpoint theory to nondeterministic hybrid reasoning. [SEP] venue: iclp [SEP] year: 2024 [SEP] doi publisher: 10.1609 [SEP] doi source: aaai
305,5,title: llasp: fine-tuning large language models for answer set programming. [SEP] venue: kr [SEP] year: 2024 [SEP] doi publisher: 10.24963 [SEP] doi source: kr
151,1,title: fastfound: easing the asp bottleneck via predicate-decoupled grounding. [SEP] venue: kr [SEP] year: 2025 [SEP] doi publisher: 10.24963 [SEP] doi source: kr
0,4,title: automated playing of survival video games with commonsense reasoning. [SEP] venue: iclp [SEP] year: 2024 [SEP] doi publisher: 10.1007 [SEP] doi source: none
371,3,title: a framework for combining entity resolution and query answering in knowledge bases. [SEP] venue: kr [SEP] year: 2023 [SEP] doi publisher: 10.24963 [SEP] doi source: kr
444,5,title: relating answer set programming and many-sorted logics for formal verification. [SEP] venue: iclp [SEP] year: 2024 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
67,1,title: methods for solving extremal problems in practice. [SEP] venue: iclp [SEP] year: 2016 [SEP] doi publisher: 10.1007 [SEP] doi source: none
561,5,title: categorical explaining functors: ensuring coherence in logical explanations. [SEP] venue: kr [SEP] year: 2025 [SEP] doi publisher: 10.24963 [SEP] doi source: kr
259,4,title: answer set counting and its applications to network reliability and system biology. [SEP] venue: iclp [SEP] year: 2025 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
80,3,title: enhancing linear algebraic computation of logic programs using sparse representation. [SEP] venue: iclp [SEP] year: 2020 [SEP] doi publisher: 10.1007 [SEP] doi source: s
449,2,title: inferring compensatory kinase networks in yeast using prolog. [SEP] venue: iclp [SEP] year: 2023 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
132,1,title: automated aggregator - rewriting with the counting aggregate. [SEP] venue: iclp [SEP] year: 2020 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
553,1,title: the combined problem of online task assignment and lifelong path finding in logistics warehouses: a case study. [SEP] venue: iclp [SEP] year: 2025 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
79,1,title: a human-centered data-driven planner-actor-critic architecture via logic programming. [SEP] venue: iclp [SEP] year: 2019 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
43,1,title: geometric reasoning on the traveling salesperson problem: comparing answer set programming and constraint logic programming approaches. [SEP] venue: iclp [SEP] year: 2023 [SEP] doi publisher: 10.1093 [SEP] doi source: logcom
153,5,title: exploiting the full power of pearl apos s causality in probabilistic logic programming. [SEP] venue: iclp [SEP] year: 2022 [SEP] doi publisher: 10.1017 [SEP] doi source: cbo
19,2,title: counterexample-guided abstraction refinement for assumption-based argumentation. [SEP] venue: kr [SEP] year: 2025 [SEP] doi publisher: 10.24963 [SEP] doi source: kr
526,4,title: tractable responsibility measures for ontology-mediated query answering. [SEP] venue: kr [SEP] year: 2025 [SEP] doi publisher: 10.24963 [SEP] doi source: kr
459,3,title: demonstrating hybrid active logic documents and the ciao prolog playground and an application to verification tutorials. [SEP] venue: iclp [SEP] year: 2023 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
400,2,title: counterfactual reasoning via grounded distance. [SEP] venue: kr [SEP] year: 2023 [SEP] doi publisher: 10.24963 [SEP] doi source: kr
497,2,title: pearce apos s characterisation in an epistemic domain. [SEP] venue: iclp [SEP] year: 2024 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
447,4,title: reasoning about qualitative direction and distance between extended objects using answer set programming. [SEP] venue: iclp [SEP] year: 2019 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
495,2,title: learning effect axioms via probabilistic logic programming. [SEP] venue: iclp [SEP] year: 2017 [SEP] doi publisher: 10.1201 [SEP] doi source: none
452,5,title: on the independencies hidden in the structure of a probabilistic logic program. [SEP] venue: iclp [SEP] year: 2023 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
513,1,title: explaining decisions in ml models: a parameterized complexity analysis. [SEP] venue: kr [SEP] year: 2024 [SEP] doi publisher: 10.24963 [SEP] doi source: kr
20,1,title: repairing general game descriptions. [SEP] venue: kr [SEP] year: 2025 [SEP] doi publisher: 10.24963 [SEP] doi source: kr
234,5,title: xdnn asp : explanation generation system for deep neural networks powered by answer set programming. [SEP] venue: iclp [SEP] year: 2025 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
467,4,title: teaching prolog through grammars. [SEP] venue: iclp [SEP] year: 2024 [SEP] doi publisher: 10.1007 [SEP] doi source: none
416,2,title: on model reconciliation: how to reconcile when robot does not know human apos s model [SEP] venue: iclp [SEP] year: 2022 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
150,2,title: concerning measures in a first-order logic with actions and meta-beliefs. [SEP] venue: kr [SEP] year: 2023 [SEP] doi publisher: 10.24963 [SEP] doi source: kr
158,3,title: omega-completeness of the logic of here-and-there and strong equivalence of logic programs. [SEP] venue: kr [SEP] year: 2023 [SEP] doi publisher: 10.24963 [SEP] doi source: kr
117,5,title: justifications for goal-directed constraint answer set programming. [SEP] venue: iclp [SEP] year: 2020 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
244,2,title: a report on sequential kr-approaches as cognitive logic. [SEP] venue: kr [SEP] year: 2024 [SEP] doi publisher: 10.21236 [SEP] doi source: ada
343,2,title: compactness and preservation in logical argumentation frameworks. [SEP] venue: kr [SEP] year: 2025 [SEP] doi publisher: 10.1177 [SEP] doi source: none
420,4,title: an asp-based approach for attractor enumeration in synchronous and asynchronous boolean networks. [SEP] venue: iclp [SEP] year: 2019 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
336,3,title: constructionist co-design for the learning experience: a work-in-progress on engaging teachers to integrate logic programming in primary school. [SEP] venue: iclp [SEP] year: 2025 [SEP] doi publisher: 10.21125 [SEP] doi source: edulearn
149,2,title: variant-based equational unification under constructor symbols. [SEP] venue: iclp [SEP] year: 2020 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
220,5,title: formalisation of action with durations in answer set programming. [SEP] venue: iclp [SEP] year: 2021 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
423,5,title: autonomous task completion based on goal-directed answer set programming. [SEP] venue: iclp [SEP] year: 2024 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
581,1,title: non-monotone fixpoint theory based on the structure of weak bilattices. [SEP] venue: kr [SEP] year: 2024 [SEP] doi publisher: 10.24963 [SEP] doi source: kr
537,2,title: adding circumscription to decidable fragments of first-order logic: a complexity rollercoaster. [SEP] venue: kr [SEP] year: 2024 [SEP] doi publisher: 10.24963 [SEP] doi source: kr
583,2,title: two-variable logic for hierarchically partitioned and ordered data. [SEP] venue: kr [SEP] year: 2025 [SEP] doi publisher: 10.24963 [SEP] doi source: kr
427,3,title: general game playing - killer app for logic programming. [SEP] venue: iclp [SEP] year: 2024 [SEP] doi publisher: 10.1007 [SEP] doi source: none
365,4,title: recursive aggregates as intensional functions. [SEP] venue: iclp [SEP] year: 2023 [SEP] doi publisher: 10.1609 [SEP] doi source: aaai
214,2,title: generative logic: teaching prolog as generative ai in art and design. [SEP] venue: iclp [SEP] year: 2024 [SEP] doi publisher: 10.4018 [SEP] doi source: ch
524,1,title: credible models of belief update. [SEP] venue: kr [SEP] year: 2023 [SEP] doi publisher: 10.24963 [SEP] doi source: kr
464,1,title: geospatial trajectory generation via efficient abduction: deployment for independent testing. [SEP] venue: iclp [SEP] year: 2024 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
46,2,title: streamlining input/output logics with sequent calculi. [SEP] venue: kr [SEP] year: 2023 [SEP] doi publisher: 10.24963 [SEP] doi source: kr
240,2,title: democratising access to logic programming: a web application design tool for querying prolog code. [SEP] venue: iclp [SEP] year: 2024 [SEP] doi publisher: 10.7551 [SEP] doi source: mitpress
461,1,title: reliable conversational agents under asp control that understand natural language. [SEP] venue: iclp [SEP] year: 2024 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
55,2,title: learning commonsense knowledge through interactive dialogue. [SEP] venue: iclp [SEP] year: 2018 [SEP] doi publisher: 10.29007 [SEP] doi source: lrph
346,3,title: argumentative causal discovery. [SEP] venue: kr [SEP] year: 2024 [SEP] doi publisher: 10.24963 [SEP] doi source: kr
27,2,title: architecture for simulating behavior mode changes in norm-aware autonomous agents. [SEP] venue: iclp [SEP] year: 2024 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
175,1,title: mtlearn: extracting temporal rules using datalog rule learners. [SEP] venue: kr [SEP] year: 2024 [SEP] doi publisher: 10.24963 [SEP] doi source: kr
412,4,title: solving gossip problems using answer set programming: an epistemic planning approach. [SEP] venue: iclp [SEP] year: 2020 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
595,3,title: inductive first-order formula synthesis by asp: a case study in invariant inference. [SEP] venue: iclp [SEP] year: 2025 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
470,1,title: towards parallelising extension construction for serialisable semantics in abstract argumentation. [SEP] venue: kr [SEP] year: 2023 [SEP] doi publisher: 10.24963 [SEP] doi source: kr
162,4,title: ontology-based query answering over datalog-expressible rule sets is undecidable. [SEP] venue: kr [SEP] year: 2024 [SEP] doi publisher: 10.24963 [SEP] doi source: kr
348,5,title: reasoning about study regulations in answer set programming preliminary report . [SEP] venue: iclp [SEP] year: 2023 [SEP] doi publisher: 10.1017 [SEP] doi source: s
330,1,title: proceedings 36th international conference on logic programming technical communications iclp technical communications 2020 technical communications unical rende cs italy 18-24th september 2020. [SEP] venue: iclp [SEP] year: 2020 [SEP] doi publisher: 10.1109 [SEP] doi source: cscc
85,2,title: reasoning about knowledge on regular expressions is 2exptime-complete. [SEP] venue: kr [SEP] year: 2025 [SEP] doi publisher: 10.24963 [SEP] doi source: kr
309,1,title: weighted merging operators: product utility-based operators and egalitarianism. [SEP] venue: kr [SEP] year: 2024 [SEP] doi publisher: 10.24963 [SEP] doi source: kr
167,3,title: revising boolean logical models of biological regulatory networks. [SEP] venue: kr [SEP] year: 2023 [SEP] doi publisher: 10.24963 [SEP] doi source: kr
545,3,title: can llms solve asp problems insights from a benchmarking study. [SEP] venue: kr [SEP] year: 2025 [SEP] doi publisher: 10.24963 [SEP] doi source: kr
453,1,title: contractions based on optimal repairs. [SEP] venue: kr [SEP] year: 2024 [SEP] doi publisher: 10.25368 [SEP] doi source: none
112,1,title: early validation of high-level requirements on cyber-physical systems. [SEP] venue: iclp [SEP] year: 2025 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
18,4,title: deep inductive logic programming meets reinforcement learning. [SEP] venue: iclp [SEP] year: 2023 [SEP] doi publisher: 10.32657 [SEP] doi source: none
389,5,title: a neurosymbolic approach to fraud detection on financial data in the public administration. [SEP] venue: iclp [SEP] year: 2025 [SEP] doi publisher: 10.1002 [SEP] doi source: ch
379,1,title: value awareness and process automation: a reflection through school place allocation models. [SEP] venue: iclp [SEP] year: 2023 [SEP] doi publisher: 10.1007 [SEP] doi source: none
571,2,title: advancing algorithmic approaches to probabilistic argumentation under the constellation approach. [SEP] venue: kr [SEP] year: 2024 [SEP] doi publisher: 10.24963 [SEP] doi source: kr
287,1,title: early validation of high-level requirements on cyber-physical systems. [SEP] venue: iclp [SEP] year: 2024 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
218,4,title: reasoning about probability via continuous functions. [SEP] venue: kr [SEP] year: 2023 [SEP] doi publisher: 10.24963 [SEP] doi source: kr
363,3,title: propositional abduction via only-knowing: a non-monotonic approach. [SEP] venue: iclp [SEP] year: 2025 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
306,5,title: visual graph question answering with asp and llms for language parsing. [SEP] venue: iclp [SEP] year: 2024 [SEP] doi publisher: 10.4204 [SEP] doi source: eptcs
