title_clean,venue_clean,authors_raw,authors_parsed,authors_is_missing,doi_clean,doi_prefix,doi_suffix_head,doi_suffix_head_missing,Label
exploring neurosymbolic systems in answer set programming with an application to waste water monitoring.,iclp,"Steffen Schieweck, Gabriele Kern-Isberner, Michael ten Hompel",steffen schieweck | gabriele kern-isberner | michael ten hompel,0,10.5220/0006489300250034,10.5220,,1,5
on simple expectations and observations of intelligent agents: a complexity study.,kr,"Sourav Chakraborty, Avijeet Ghosh, Sujata Ghosh, François Schwarzentruber",sourav chakraborty | avijeet ghosh | sujata ghosh | fran ois schwarzentruber,0,10.24963/kr.2023/14,10.24963,kr,0,4
proceedings 38th international conference on logic programming iclp 2022 technical communications / doctoral consortium haifa israel 31st july 2022 - 6th august 2022.,iclp,,,1,10.1007/978-3-031-26622-5,10.1007,,1,1
testing of concurrent programs.,iclp,Valerio Terragni,valerio terragni,0,10.14711/thesis-b1778938,10.14711,thesis,0,1
determining action reversibility in strips using answer set programming.,iclp,"WOLFGANG FABER, MICHAEL MORAK, LUKÁŠ CHRPA",wolfgang faber | michael morak | luk chrpa,0,10.1017/s1471068421000429,10.1017,s,0,3
domain-independent instance generation for classical planning.,kr,"Claudia Grundke, Malte Helmert, Gabriele Röger",claudia grundke | malte helmert | gabriele r ger,0,10.24963/kr.2025/77,10.24963,kr,0,5
on teaching constraint-based modeling and algorithms for decision support in prolog.,iclp,"Huaiqing Wang, Stephen Liao, Lejian Liao",huaiqing wang | stephen liao | lejian liao,0,10.1016/s0167-9236 01 00138-5,10.1016,s,0,4
relational graph convolutional networks do not learn sound rules.,kr,"Matthew Morris, David J. Tena Cucala, Bernardo Cuenca Grau, Ian Horrocks",matthew morris | david j. tena cucala | bernardo cuenca grau | ian horrocks,0,10.24963/kr.2024/84,10.24963,kr,0,4
on the correspondence between monotonic max-sum gnns and datalog.,kr,"David Tena Cucala, Bernardo Cuenca Grau, Boris Motik, Egor V. Kostylev",david tena cucala | bernardo cuenca grau | boris motik | egor v. kostylev,0,10.24963/kr.2023/64,10.24963,kr,0,4
contracted temporal equilibrium logic.,kr,"Pedro Cabalar, Thomas Eiter, Davide Soldà",pedro cabalar | thomas eiter | davide sold,0,10.24963/kr.2024/21,10.24963,kr,0,3
improving candidate quality of probabilistic logic models.,iclp,Alex M. Andrew,alex m. andrew,0,10.1108/k.2000.06729iae.003,10.1108,k,0,3
extracting policies from quantified answer set programs.,iclp,"Martín Diéguez, Igor Stéphan",mart n di guez | igor st phan,0,10.4204/eptcs.439.16,10.4204,eptcs,0,5
on combining collective entity resolution and repairing extended abstract .,kr,"Meghyn Bienvenu, Gianluca Cima, Víctor Gutiérrez-Basulto",meghyn bienvenu | gianluca cima | v ctor guti rrez-basulto,0,10.24963/ijcai.2023/349,10.24963,ijcai,0,3
navigating and querying answer sets: how hard is it really and why,kr,"Dominik Rusovac, Markus Hecher, Martin Gebser, Sarah Alice Gaggl, Johannes K. Fichte",dominik rusovac | markus hecher | martin gebser | sarah alice gaggl | johannes k. fichte,0,10.24963/kr.2024/60,10.24963,kr,0,5
explanations for unrealizability of infinite-state safety shields.,kr,"Andoni Rodríguez, Irfansha Shaik, Davide Corsi, Roy Fox, César Sánchez",andoni rodr guez | irfansha shaik | davide corsi | roy fox | c sar s nchez,0,10.24963/kr.2025/83,10.24963,kr,0,2
emerson-lei and manna-pnueli games for ltlf+ and ppltl+ synthesis.,kr,"Daniel Hausmann, Shufang Zhu, Gianmarco Parretti, Christoph Weinhuber, Giuseppe De Giacomo, Nir Piterman",daniel hausmann | shufang zhu | gianmarco parretti | christoph weinhuber | giuseppe de giacomo | nir piterman,0,10.24963/kr.2025/78,10.24963,kr,0,1
commonsense reasoning-aided autonomous vehicle systems.,iclp,Keegan Kimbrell,keegan kimbrell,0,10.4204/eptcs.416.36,10.4204,eptcs,0,1
precise exponential-time complexity of non-monotonic reasoning.,iclp,Georg Gottlob,georg gottlob,0,10.7551/mitpress/4307.003.0022,10.7551,mitpress,0,3
semantically guided scene generation via contextual reasoning and algebraic measures.,iclp,Wenhao Ding,wenhao ding,0,10.1109/tits.2024.3510515/mm1,10.1109,tits,0,2
cumulative scoring-based induction of default theories.,iclp,,,1,10.1002/eng2.70433/v1/review2,10.1002,eng,0,1
theory revision with goal-directed asp.,iclp,,,1,10.1017/cbo9781107257115.023,10.1017,cbo,0,5
lazy stream programming in prolog.,iclp,"Paul Tarau, Jan Wielemaker, Tom Schrijvers",paul tarau | jan wielemaker | tom schrijvers,0,10.4204/eptcs.306.26,10.4204,eptcs,0,4
asp chef: draw and expand.,kr,"Mario Alviano, Luis Angel Rodriguez Reiners",mario alviano | luis angel rodriguez reiners,0,10.24963/kr.2024/68,10.24963,kr,0,5
product configuration in answer set programming.,iclp,Seemran Mishra,seemran mishra,0,10.4204/eptcs.345.46,10.4204,eptcs,0,4
an implementation of a non-monotonic logic in an embedded computer for a motor-glider.,iclp,"José Luis Vilchis Medina, Pierre Siegel, Vincent Risch, Andrei Doncescu",jos luis vilchis medina | pierre siegel | vincent risch | andrei doncescu,0,10.4204/eptcs.306.37,10.4204,eptcs,0,2
aspmc: an algebraic answer set counter.,iclp,"Thomas Eiter, Markus Hecher, Rafael Kiesel",thomas eiter | markus hecher | rafael kiesel,0,10.1016/j.artint.2024.104109,10.1016,j,0,3
a category-theoretic perspective on approximation fixpoint theory.,iclp,Samuele Pollaci,samuele pollaci,0,10.4204/eptcs.416.37,10.4204,eptcs,0,4
dialectical reconciliation via structured argumentative dialogues.,kr,"Stylianos Loukas Vasileiou, Ashwin Kumar, William Yeoh, Tran Cao Son, Francesca Toni",stylianos loukas vasileiou | ashwin kumar | william yeoh | tran cao son | francesca toni,0,10.24963/kr.2024/73,10.24963,kr,0,1
exploring digital twins integration with asp and asp chef.,iclp,Fiona Rossette-Crake,fiona rossette-crake,0,10.4000/15c2h,10.4000,c,0,4
reasoning with restricted statistical statements in probabilistic answer set programming: complexity and algorithms.,kr,"Damiano Azzolini, Markus Hecher",damiano azzolini | markus hecher,0,10.24963/kr.2025/6,10.24963,kr,0,4
fixpoint characterizations of disjunctive hybrid mknf knowledge bases.,iclp,"Spencer Killen, Jia-Huai You",spencer killen | jia-huai you,0,10.4204/eptcs.364.6,10.4204,eptcs,0,1
natural language generation for non-expert users.,iclp,"Van Duc Nguyen, Tran Cao Son, Enrico Pontelli",van duc nguyen | tran cao son | enrico pontelli,0,10.4204/eptcs.306.33,10.4204,eptcs,0,5
treewidth in non-ground answer set solving and alliance problems in graphs.,iclp,"Bernhard Bliem, Michael Morak, Marius Moldovan, Stefan Woltran",bernhard bliem | michael morak | marius moldovan | stefan woltran,0,10.1613/jair.1.11515,10.1613,jair,0,2
proceedings of the 21st international conference on principles of knowledge representation and reasoning kr 2024 hanoi vietnam. november 2-8 2024.,kr,,,1,10.24963/kr.2024,10.24963,kr,0,1
knowledge authoring with factual english.,iclp,"Yuheng Wang, Giorgian Borca-Tasciuc, Nikhil Goel, Paul Fodor, Michael Kifer",yuheng wang | giorgian borca-tasciuc | nikhil goel | paul fodor | michael kifer,0,10.4204/eptcs.364.10,10.4204,eptcs,0,3
explaining image classifiers.,kr,"Hana Chockler, Joseph Y. Halpern",hana chockler | joseph y. halpern,0,10.24963/kr.2024/25,10.24963,kr,0,5
entity set expansion from the web via asp.,iclp,"Weronika Adrian, Paweł Caryk",weronika adrian | pawe caryk,0,10.5220/0010715100003058,10.5220,,1,5
encoding choice logics in asp.,iclp,Luca Viganò,luca vigan,0,10.1007/978-1-4757-3208-5 5,10.1007,,1,4
front matter table of contents preface conference organization.,iclp,,,1,10.1484/m.art-eb.5.138353,10.1484,m,0,1
generalizing platform-aware mission planning for infinite-state timed transition systems.,kr,"Stefan Panjkovic, Alessandro Cimatti, Andrea Micheli, Stefano Tonetta",stefan panjkovic | alessandro cimatti | andrea micheli | stefano tonetta,0,10.24963/kr.2025/81,10.24963,kr,0,2
bridging logic programming and deep learning for explainability through ilasp.,iclp,Talissa Dreossi,talissa dreossi,0,10.4204/eptcs.416.31,10.4204,eptcs,0,5
total preorders vs ranking functions under belief revision - the dynamics of empty layers.,kr,"Gabriele Kern-Isberner, Alexander Hahn, Jonas Haldimann, Christoph Beierle",gabriele kern-isberner | alexander hahn | jonas haldimann | christoph beierle,0,10.24963/kr.2024/47,10.24963,kr,0,2
asp chef creates surveys.,iclp,,,1,10.1002/fsat.3101 6.x,10.1002,fsat,0,3
answer set programming with epistemic defaults.,iclp,,,1,10.1017/cbo9781139342124.006,10.1017,cbo,0,4
dynamic multi-agent path finding based on conflict resolution using answer set programming.,iclp,"Basem Atiq, Volkan Patoglu, Esra Erdem",basem atiq | volkan patoglu | esra erdem,0,10.4204/eptcs.325.27,10.4204,eptcs,0,5
causally constrained counterfactual generation using asp.,iclp,Sopam Dasgupta,sopam dasgupta,0,10.4204/eptcs.416.30,10.4204,eptcs,0,4
group responsibility for exceeding risk threshold.,kr,"Maksim Gladyshev, Natasha Alechina, Mehdi Dastani, Dragan Doder",maksim gladyshev | natasha alechina | mehdi dastani | dragan doder,0,10.24963/kr.2023/32,10.24963,kr,0,4
a new proof-theoretical linear semantics for chr.,iclp,Arnon Avron,arnon avron,0,10.1016/0304-3975 88 90037-0,10.1016,,1,3
legal compliance checking of autonomous driving with formalized traffic rule exceptions.,iclp,xi zheng,xi zheng,0,10.1109/tse.2025.3569086/mm1,10.1109,tse,0,2
assumable answer set programming.,iclp,,,1,10.1017/cbo9781139342124.007,10.1017,cbo,0,5
induction of non-monotonic logic programs to explain statistical learning models.,iclp,Farhad Shakerin,farhad shakerin,0,10.4204/eptcs.306.51,10.4204,eptcs,0,2
the simple generative logic grammar: a tool for teaching logical thinking through visual research in art and design.,iclp,Susanna Berger,susanna berger,0,10.23943/princeton/9780691172279.003.0002,10.23943,princeton,0,5
tools and methodologies for verifying answer set programs.,iclp,Zach Hansen,zach hansen,0,10.4204/eptcs.364.36,10.4204,eptcs,0,5
lad-based feature selection for optimal decision trees and other classifiers.,kr,"David Ing, Said Jabbour, Lakhdar Sais, Fabien Delorme",david ing | said jabbour | lakhdar sais | fabien delorme,0,10.24963/kr.2024/81,10.24963,kr,0,1
international conference on logic programming 2020 workshop proceedings co-located with 36th international conference on logic programming iclp 2020 rende italy september 18-19 2020.,iclp,"Francesco Ricca, Alessandra Russo",francesco ricca | alessandra russo,0,10.1017/s1471068420000149,10.1017,s,0,1
automata techniques for temporal answer set programming.,iclp,Susana Hahn,susana hahn,0,10.4204/eptcs.345.42,10.4204,eptcs,0,5
quot would life be more interesting if i were in ai quot answering counterfactuals based on probabilistic inductive logic programming.,iclp,"Kilian Rückschloß, Felix Weitkämper",kilian r ckschlo | felix weitk mper,0,10.4204/eptcs.385.7,10.4204,eptcs,0,5
an experiment with llm in contract extraction.,kr,,,1,10.1088/2632-2153/ae2381/data7,10.1088,ae,0,3
determining action reversibility in strips using epistemic logic programs.,iclp,"WOLFGANG FABER, MICHAEL MORAK, LUKÁŠ CHRPA",wolfgang faber | michael morak | luk chrpa,0,10.1017/s1471068421000429,10.1017,s,0,1
proceedings of the international conference on logic programming 2023 workshops co-located with the 39th international conference on logic programming iclp 2023 london united kingdom july 9th and 10th 2023.,iclp,"Ralph Butler, Ewing Lusk, William McCune, Ross Overbeek",ralph butler | ewing lusk | william mccune | ross overbeek,0,10.1007/3-540-16492-8 88,10.1007,,1,1
run-based semantics for rpqs.,kr,"Claire David, Nadime Francis, Victor Marsault",claire david | nadime francis | victor marsault,0,10.24963/kr.2023/18,10.24963,kr,0,1
a temporal module for logical frameworks.,iclp,"Valentina Pitoni, Stefania Costantini",valentina pitoni | stefania costantini,0,10.4204/eptcs.306.40,10.4204,eptcs,0,4
how to split a logic program.,iclp,Rachel Ben-Eliyahu-Zohary,rachel ben-eliyahu-zohary,0,10.4204/eptcs.345.13,10.4204,eptcs,0,4
ltl model checking using coinductive answer set programming.,iclp,"Lingyun Situ, Lingzhong Zhao",lingyun situ | lingzhong zhao,0,10.1109/apsec.2015.16,10.1109,apsec,0,4
a dataflow analysis for comparing and reordering predicate arguments.,iclp,"Gonzague Yernaux, Wim Vanhoof",gonzague yernaux | wim vanhoof,0,10.4204/eptcs.385.5,10.4204,eptcs,0,2
do repeat yourself: understanding sufficient conditions for restricted chase non-termination.,kr,"Lukas Gerlach, David Carral",lukas gerlach | david carral,0,10.24963/kr.2023/30,10.24963,kr,0,2
reasoning about medical triage optimization with logic programming.,iclp,"Jaikrishna Manojkumar Patil, Adam Chapman, Richard Knuszka, John Chapman, Paulo Shakarian",jaikrishna manojkumar patil | adam chapman | richard knuszka | john chapman | paulo shakarian,0,10.4204/eptcs.439.22,10.4204,eptcs,0,3
investigating the grounding bottleneck for a large-scale configuration problem: existing tools and constraint-aware guessing.,iclp,"Veronika Semmelrock, Gerhard Friedrich",veronika semmelrock | gerhard friedrich,0,10.4204/eptcs.439.33,10.4204,eptcs,0,1
solving unification in the description logic fl bottom.,kr,"Franz Baader, Pavlos Marantidis, Alexander Okhotin",franz baader | pavlos marantidis | alexander okhotin,0,10.25368/2022.228,10.25368,,1,1
a comparative study of text representations for french real-estate classified advertisements information extraction.,kr,"Lien Vi Pham, Son Bao Pham",lien vi pham | son bao pham,0,10.1109/kse.2012.27,10.1109,kse,0,2
contestable ai needs computational argumentation.,kr,"Francesco Leofante, Hamed Ayoobi, Adam Dejl, Gabriel Freedman, Deniz Gorur, Junqi Jiang, Guilherme Paulino-Passos, Antonio Rago, Anna Rapberger, Fabrizio Russo, Xiang Yin, Dekai Zhang, Francesca Toni",francesco leofante | hamed ayoobi | adam dejl | gabriel freedman | deniz gorur | junqi jiang | guilherme paulino-passos | antonio rago | anna rapberger | fabrizio russo | xiang yin | dekai zhang | francesca toni,0,10.24963/kr.2024/83,10.24963,kr,0,3
description logics with abstraction and refinement: from alc to el.,kr,"Carsten Lutz, Lukas Schulze",carsten lutz | lukas schulze,0,10.24963/kr.2024/51,10.24963,kr,0,4
sampling and probabilistic inference in d/slps.,iclp,"Adam Sanborn, Jian-Qiao Zhu, Jake Spicer, Joakim Sundh, Pablo León-Villagrá, Nick Chater",adam sanborn | jian-qiao zhu | jake spicer | joakim sundh | pablo le n-villagr | nick chater,0,10.1093/oso/9780198862536.003.0021,10.1093,oso,0,4
distributed answer set coloring: stable models computation via graph coloring.,iclp,Marco De Bortoli,marco de bortoli,0,10.4204/eptcs.306.60,10.4204,eptcs,0,3
counting solutions under cardinality constraints: structure counts in counting.,kr,"Max Bannach, Markus Hecher",max bannach | markus hecher,0,10.24963/kr.2025/8,10.24963,kr,0,1
google vs ibm: a constraint solving challenge on the job-shop scheduling problem.,iclp,"Giacomo Da Col, Erich Teppan",giacomo da col | erich teppan,0,10.4204/eptcs.306.30,10.4204,eptcs,0,4
an analysis of the role of syntax in inductive inference.,kr,"Jesse Heyninck, Richard Booth, Thomas Meyer, Lars-Phillip Spiegel",jesse heyninck | richard booth | thomas meyer | lars-phillip spiegel,0,10.24963/kr.2025/39,10.24963,kr,0,3
ce-qarg: counterfactual explanations for quantitative bipolar argumentation frameworks.,kr,"Xiang Yin, Nico Potyka, Francesca Toni",xiang yin | nico potyka | francesca toni,0,10.24963/kr.2024/66,10.24963,kr,0,1
introspecting preferences in answer set programming.,iclp,,,1,10.1017/cbo9781139342124.007,10.1017,cbo,0,4
modelling and verification of timed systems with the event calculus and s casp .,iclp,,,1,10.1017/cbo9780511814105.011,10.1017,cbo,0,2
apia: an architecture for policy-aware intentional agents.,iclp,"John Meyer, Daniela Inclezan",john meyer | daniela inclezan,0,10.4204/eptcs.345.23,10.4204,eptcs,0,1
design of a solver for multi-agent epistemic planning.,iclp,Francesco Fabiano,francesco fabiano,0,10.4204/eptcs.306.54,10.4204,eptcs,0,2
computational methods for dynamic answer set programming.,iclp,Susana Hahn,susana hahn,0,10.4204/eptcs.416.32,10.4204,eptcs,0,5
graph based answer set programming solver systems.,iclp,Fang Li,fang li,0,10.4204/eptcs.345.44,10.4204,eptcs,0,5
splitting a hybrid asp program.,iclp,Alex Brik,alex brik,0,10.4204/eptcs.325.8,10.4204,eptcs,0,5
logical foundations of smart contracts.,iclp,Kalonji Kalala,kalonji kalala,0,10.4204/eptcs.416.35,10.4204,eptcs,0,3
pushdown reward machines for reinforcement learning.,kr,"Giovanni Varricchione, Toryn Q. Klassen, Natasha Alechina, Mehdi Dastani, Brian Logan, Sheila A. McIlraith",giovanni varricchione | toryn q. klassen | natasha alechina | mehdi dastani | brian logan | sheila a. mcilraith,0,10.24963/kr.2025/55,10.24963,kr,0,3
beyond logic programming for legal reasoning.,iclp,Francesca Toni,francesca toni,0,10.1007/978-3-319-61660-5 4,10.1007,,1,5
proceedings 41st international conference on logic programming iclp 2025 rende italy 12-19th september 2025.,iclp,Paul Tarau,paul tarau,0,10.1007/978-3-032-04848-6 13,10.1007,,1,1
operationalizing declarative and procedural knowledge: a benchmark on logic programming petri nets lppns .,iclp,Guanjun Liu,guanjun liu,0,10.1007/978-981-19-6309-4 6,10.1007,,1,5
enhancing compilation-based asp solving with postponed atom discovery.,iclp,"Andrea Cuteri, Giuseppe Mazzotta, Francesco Ricca",andrea cuteri | giuseppe mazzotta | francesco ricca,0,10.4204/eptcs.439.14,10.4204,eptcs,0,5
preferential reasoning with typicality in asp over weighted argumentation graphs in a gradual semantics.,iclp,"Mario Alviano, Laura Giordano, Daniele Theseider Dupré",mario alviano | laura giordano | daniele theseider dupr,0,10.3233/ia-240031,10.3233,ia,0,2
adapting approximation fixpoint theory to nondeterministic hybrid reasoning.,iclp,"Spencer Killen, Jia-Huai You, Jesse Heyninck",spencer killen | jia-huai you | jesse heyninck,0,10.1609/aaai.v39i14.33648,10.1609,aaai,0,1
llasp: fine-tuning large language models for answer set programming.,kr,"Erica Coppolillo, Francesco Calimeri, Giuseppe Manco, Simona Perri, Francesco Ricca",erica coppolillo | francesco calimeri | giuseppe manco | simona perri | francesco ricca,0,10.24963/kr.2024/78,10.24963,kr,0,5
fastfound: easing the asp bottleneck via predicate-decoupled grounding.,kr,"Alexander Beiser, Martin Gebser, Markus Hecher, Stefan Woltran",alexander beiser | martin gebser | markus hecher | stefan woltran,0,10.24963/kr.2025/10,10.24963,kr,0,1
automated playing of survival video games with commonsense reasoning.,iclp,"Bryant Hargreaves, Dan N. Nguyen, Keegan Krimbell, Gopal Gupta",bryant hargreaves | dan n. nguyen | keegan krimbell | gopal gupta,0,10.1007/978-3-031-84924-4 7,10.1007,,1,4
a framework for combining entity resolution and query answering in knowledge bases.,kr,"Ronald Fagin, Phokion G. Kolaitis, Domenico Lembo, Lucian Popa, Federico Scafoglieri",ronald fagin | phokion g. kolaitis | domenico lembo | lucian popa | federico scafoglieri,0,10.24963/kr.2023/23,10.24963,kr,0,3
relating answer set programming and many-sorted logics for formal verification.,iclp,Zachary Hansen,zachary hansen,0,10.4204/eptcs.416.33,10.4204,eptcs,0,5
methods for solving extremal problems in practice.,iclp,,,1,10.1007/978-0-585-29602-9 6,10.1007,,1,1
categorical explaining functors: ensuring coherence in logical explanations.,kr,"Stefano Fioravanti, Francesco Giannini, Pietro Barbiero, Paolo Frazzetto, Roberto Confalonieri, Fabio Zanasi, Nicolò Navarin",stefano fioravanti | francesco giannini | pietro barbiero | paolo frazzetto | roberto confalonieri | fabio zanasi | nicol navarin,0,10.24963/kr.2025/30,10.24963,kr,0,5
answer set counting and its applications to network reliability and system biology.,iclp,Mohimenul Kabir,mohimenul kabir,0,10.4204/eptcs.416.34,10.4204,eptcs,0,4
enhancing linear algebraic computation of logic programs using sparse representation.,iclp,"Tuan Quoc Nguyen, Katsumi Inoue, Chiaki Sakama",tuan quoc nguyen | katsumi inoue | chiaki sakama,0,10.1007/s00354-021-00142-2,10.1007,s,0,3
inferring compensatory kinase networks in yeast using prolog.,iclp,"George A. Elder, Conrad Bessant",george a. elder | conrad bessant,0,10.4204/eptcs.385.26,10.4204,eptcs,0,2
automated aggregator - rewriting with the counting aggregate.,iclp,"Michael Dingess, Miroslaw Truszczynski",michael dingess | miroslaw truszczynski,0,10.4204/eptcs.325.17,10.4204,eptcs,0,1
the combined problem of online task assignment and lifelong path finding in logistics warehouses: a case study.,iclp,"Fengming Zhu, Weijia Xu, Yifei Guo, Fangzhen Lin",fengming zhu | weijia xu | yifei guo | fangzhen lin,0,10.4204/eptcs.439.12,10.4204,eptcs,0,1
a human-centered data-driven planner-actor-critic architecture via logic programming.,iclp,"Daoming Lyu, Fangkai Yang, Bo Liu, Steven Gustafson",daoming lyu | fangkai yang | bo liu | steven gustafson,0,10.4204/eptcs.306.23,10.4204,eptcs,0,1
geometric reasoning on the traveling salesperson problem: comparing answer set programming and constraint logic programming approaches.,iclp,"Alessandro Bertagnon, Marco Gavanelli",alessandro bertagnon | marco gavanelli,0,10.1093/logcom/exaf072,10.1093,logcom,0,1
exploiting the full power of pearl apos s causality in probabilistic logic programming.,iclp,,,1,10.1017/cbo9780511570667.009,10.1017,cbo,0,5
counterexample-guided abstraction refinement for assumption-based argumentation.,kr,"Jean Marie Lagniez, Emmanuel Lonca, Jean-Guy Mailly",jean marie lagniez | emmanuel lonca | jean-guy mailly,0,10.24963/kr.2025/67,10.24963,kr,0,2
tractable responsibility measures for ontology-mediated query answering.,kr,"Meghyn Bienvenu, Diego Figueira, Pierre Lafourcade",meghyn bienvenu | diego figueira | pierre lafourcade,0,10.24963/kr.2025/16,10.24963,kr,0,4
demonstrating hybrid active logic documents and the ciao prolog playground and an application to verification tutorials.,iclp,"Daniela Ferreiro, José F. Morales, Salvador Abreu, Manuel V. Hermenegildo",daniela ferreiro | jos f. morales | salvador abreu | manuel v. hermenegildo,0,10.4204/eptcs.385.33,10.4204,eptcs,0,3
counterfactual reasoning via grounded distance.,kr,"Carlos Aguilera-Ventura, Andreas Herzig, Xinghan Liu, Emiliano Lorini",carlos aguilera-ventura | andreas herzig | xinghan liu | emiliano lorini,0,10.24963/kr.2023/1,10.24963,kr,0,2
pearce apos s characterisation in an epistemic domain.,iclp,Ezgi Iraz Su,ezgi iraz su,0,10.4204/eptcs.416.18,10.4204,eptcs,0,2
reasoning about qualitative direction and distance between extended objects using answer set programming.,iclp,Yusuf Izmirlioglu,yusuf izmirlioglu,0,10.4204/eptcs.306.50,10.4204,eptcs,0,4
learning effect axioms via probabilistic logic programming.,iclp,Fabrizio Riguzzi,fabrizio riguzzi,0,10.1201/9781003338192-2,10.1201,,1,2
on the independencies hidden in the structure of a probabilistic logic program.,iclp,"Kilian Rückschloß, Felix Weitkämper",kilian r ckschlo | felix weitk mper,0,10.4204/eptcs.385.17,10.4204,eptcs,0,5
explaining decisions in ml models: a parameterized complexity analysis.,kr,"Sebastian Ordyniak, Giacomo Paesani, Mateusz Rychlicki, Stefan Szeider",sebastian ordyniak | giacomo paesani | mateusz rychlicki | stefan szeider,0,10.24963/kr.2024/53,10.24963,kr,0,1
repairing general game descriptions.,kr,"Yifan He, Munyque Mittelmann, Aniello Murano, Abdallah Saffidine, Michael Thielscher",yifan he | munyque mittelmann | aniello murano | abdallah saffidine | michael thielscher,0,10.24963/kr.2025/38,10.24963,kr,0,1
xdnn asp : explanation generation system for deep neural networks powered by answer set programming.,iclp,"Ly Ly Trieu, Tran Cao Son",ly ly trieu | tran cao son,0,10.4204/eptcs.439.30,10.4204,eptcs,0,5
teaching prolog through grammars.,iclp,"Helder Coelho, José Carlos Cotta",helder coelho | jos carlos cotta,0,10.1007/978-3-642-83213-0 15,10.1007,,1,4
on model reconciliation: how to reconcile when robot does not know human apos s model,iclp,"Ho Tuan Dung, Tran Cao Son",ho tuan dung | tran cao son,0,10.4204/eptcs.364.4,10.4204,eptcs,0,2
concerning measures in a first-order logic with actions and meta-beliefs.,kr,"Daxin Liu, Qihui Feng, Vaishak Belle, Gerhard Lakemeyer",daxin liu | qihui feng | vaishak belle | gerhard lakemeyer,0,10.24963/kr.2023/44,10.24963,kr,0,2
omega-completeness of the logic of here-and-there and strong equivalence of logic programs.,kr,"Jorge Fandinno, Vladimir Lifschitz",jorge fandinno | vladimir lifschitz,0,10.24963/kr.2023/24,10.24963,kr,0,3
justifications for goal-directed constraint answer set programming.,iclp,"Joaquín Arias, Manuel Carro, Zhuo Chen, Gopal Gupta",joaqu n arias | manuel carro | zhuo chen | gopal gupta,0,10.4204/eptcs.325.12,10.4204,eptcs,0,5
a report on sequential kr-approaches as cognitive logic.,kr,Srinivas Devadas,srinivas devadas,0,10.21236/ada208322,10.21236,ada,0,2
compactness and preservation in logical argumentation frameworks.,kr,"Ofer Arieli, Christian Straßer",ofer arieli | christian stra er,0,10.1177/19462174261418979,10.1177,,1,2
an asp-based approach for attractor enumeration in synchronous and asynchronous boolean networks.,iclp,"Tarek Khaled, Belaïd Benhamou",tarek khaled | bela d benhamou,0,10.4204/eptcs.306.34,10.4204,eptcs,0,4
constructionist co-design for the learning experience: a work-in-progress on engaging teachers to integrate logic programming in primary school.,iclp,"Maria Daskolia, Jaume Piera, Karen Soacha",maria daskolia | jaume piera | karen soacha,0,10.21125/edulearn.2022.2414,10.21125,edulearn,0,3
variant-based equational unification under constructor symbols.,iclp,"Damián Aparicio-Sánchez, Santiago Escobar, Julia Sapiña",dami n aparicio-s nchez | santiago escobar | julia sapi a,0,10.4204/eptcs.325.10,10.4204,eptcs,0,2
formalisation of action with durations in answer set programming.,iclp,Etienne Tignon,etienne tignon,0,10.4204/eptcs.345.47,10.4204,eptcs,0,5
