id,title,venue,year,doi,final_label,label_s8,label_s2,label_s9,label_abs,review_status,locked_do_not_change,needs_review,reason
142,ASP-QRAT: A Conditionally Optimal Dual Proof System for ASP.,kr,2024,10.24963/kr.2024/24,3,3,3,3,5,user_added_red_diff_to_train,True,False,"user_requested_from_red_diff: add this id,label pair to augmented train."
144,Semantic Versioning Checking in a Declarative Package Manager.,iclp,2017,10.1145/3479394.3479416,1,1,1,1,1,user_added_red_diff_to_train,True,False,"user_requested_from_red_diff: add this id,label pair to augmented train."
181,Answer Set Counting and its Applications.,iclp,2024,10.4204/eptcs.416.34,5,5,5,5,4,user_added_red_diff_to_train,True,False,"user_requested_from_red_diff: add this id,label pair to augmented train."
210,Information Extraction Tool Text2ALM: From Narratives to Action Language System Descriptions.,iclp,2019,10.3233/aic-220194,5,5,5,5,1,user_added_red_diff_to_train,True,False,"user_requested_from_red_diff: add this id,label pair to augmented train."
219,Weighted Conditional EL⊥ Knowledge Bases with Integer Weights: an ASP Approach.,iclp,2021,10.4204/eptcs.345.19,4,4,4,4,4,user_added_red_diff_to_train,True,False,"user_requested_from_red_diff: add this id,label pair to augmented train."
226,On the impact of sensors update in declarative AI for videogames.,iclp,2023,10.1002/seup.v12:1,1,1,1,1,1,user_added_red_diff_to_train,True,False,"user_requested_from_red_diff: add this id,label pair to augmented train."
262,Efficient OWL2QL Meta-reasoning Using ASP-based Hybrid Knowledge Bases.,iclp,2024,10.4204/eptcs.416.17,3,3,3,3,3,user_added_red_diff_to_train,True,False,"user_requested_from_red_diff: add this id,label pair to augmented train."
281,On the Complexity of Global Necessary Reasons to Explain Classification.,kr,2025,10.24963/kr.2025/21,5,5,5,5,5,user_added_red_diff_to_train,True,False,"user_requested_from_red_diff: add this id,label pair to augmented train."
293,Extended abstract: 푓퐶퐴푆푃 - A forgetting technique for XAI based on goal-directed constraint ASP models.,iclp,2024,10.4204/eptcs.364.24,3,3,3,3,3,user_added_red_diff_to_train,True,False,"user_requested_from_red_diff: add this id,label pair to augmented train."
295,Sequence Explanations for Acceptance in Abstract Argumentation.,kr,2025,10.24963/kr.2025/12,3,3,3,3,3,user_added_red_diff_to_train,True,False,"user_requested_from_red_diff: add this id,label pair to augmented train."
307,PEG 2.0: Future-Gazing Through a Socio-Linguistic and Historical Lens.,iclp,2025,10.1126/science.1662-b,3,3,3,3,4,user_added_red_diff_to_train,True,False,"user_requested_from_red_diff: add this id,label pair to augmented train."
313,Situation Calculus Temporally Lifted Abstractions for Generalized Planning - Extended Abstract.,kr,2024,10.1609/aaai.v39i14.33628,1,1,1,1,1,user_added_red_diff_to_train,True,False,"user_requested_from_red_diff: add this id,label pair to augmented train."
315,Unifying Abduction and Deduction through Argumentation.,kr,2023,10.1093/med/9780190912925.003.0005,2,2,2,2,3,user_added_red_diff_to_train,True,False,"user_requested_from_red_diff: add this id,label pair to augmented train."
367,Revising Weighted Knowledge Bases Using FH-Conditioning.,kr,2023,10.1016/b978-1-4832-1452-8.50151-2,1,1,1,1,1,user_added_red_diff_to_train,True,False,"user_requested_from_red_diff: add this id,label pair to augmented train."
402,Explaining Actual Causation via Reasoning About Actions and Change.,iclp,2018,10.17918/kp1w-ma77,5,5,4,5,3,user_added_red_diff_to_train,True,False,"user_requested_from_red_diff: add this id,label pair to augmented train."
414,"Solving Recurrence Relations using Machine Learning, with Application to Cost Analysis.",iclp,2023,10.4204/eptcs.385.16,2,2,2,2,1,user_added_red_diff_to_train,True,False,"user_requested_from_red_diff: add this id,label pair to augmented train."
428,A Note on Occur-Check.,iclp,2021,10.4204/eptcs.345.17,1,1,1,1,1,user_added_red_diff_to_train,True,False,"user_requested_from_red_diff: add this id,label pair to augmented train."
473,On Gradual Semantics for Assumption-Based Argumentation.,kr,2025,10.24963/kr.2025/50,3,3,3,3,2,user_added_red_diff_to_train,True,False,"user_requested_from_red_diff: add this id,label pair to augmented train."
498,Research Summary on Implementing Functional Patterns by Synthesizing Inverse Functions.,iclp,2020,10.4204/eptcs.325.39,4,4,4,4,4,user_added_red_diff_to_train,True,False,"user_requested_from_red_diff: add this id,label pair to augmented train."
529,Sequent-Type Calculi for Systems of Nonmonotonic Paraconsistent Logics.,iclp,2020,10.4204/eptcs.325.23,1,1,1,1,2,user_added_red_diff_to_train,True,False,"user_requested_from_red_diff: add this id,label pair to augmented train."
577,UserArmor: An extension for AppArmor.,iclp,2025,10.3390/a18040185,1,1,1,1,1,user_added_red_diff_to_train,True,False,"user_requested_from_red_diff: add this id,label pair to augmented train."
587,The Impact of Structure in Answer Set Counting: Fighting Cycles and its Limits.,kr,2023,10.24963/kr.2023/34,4,4,4,4,4,user_added_red_diff_to_train,True,False,"user_requested_from_red_diff: add this id,label pair to augmented train."
591,Learning to Ground Existentially Quantified Goals.,kr,2024,10.24963/kr.2024/80,5,5,5,5,5,user_added_red_diff_to_train,True,False,"user_requested_from_red_diff: add this id,label pair to augmented train."
59,An Intuitionistic Version of Alternating-Time Temporal Logic.,kr,2025,10.24963/kr.2025/19,2,2,2,2,2,consensus_candidate_all_models_agree,False,True,"All checked submissions agree, but this is not locked because public F1 is low."
81,Reasoning in Defeasible Description Logics with System W and Lexicographic Inference.,kr,2025,10.24963/kr.2025/22,3,3,3,3,3,consensus_candidate_all_models_agree,False,True,"All checked submissions agree, but this is not locked because public F1 is low."
89,"Proceedings of the International Conference on Logic Programming 2021 Workshops co-located with the 37th International Conference on Logic Programming (ICLP 2021), Porto, Portugal (virtual), September 20th-21st, 2021.",iclp,2021,10.1007/978-3-540-74610-2,1,1,1,1,1,consensus_candidate_all_models_agree,False,True,"All checked submissions agree, but this is not locked because public F1 is low."
109,A Tensor-Based Probabilistic Event Calculus.,kr,2025,10.24963/kr.2025/62,2,2,2,2,2,consensus_candidate_all_models_agree,False,True,"All checked submissions agree, but this is not locked because public F1 is low."
114,Non-Rigid Designators in Modal and Temporal Free Description Logics.,kr,2024,10.24963/kr.2024/8,1,1,1,1,1,consensus_candidate_all_models_agree,False,True,"All checked submissions agree, but this is not locked because public F1 is low."
115,Formal Verification of Answer Set Programs Containing Advanced Language Constructs.,iclp,2025,10.29007/g6ph,5,5,5,5,5,consensus_candidate_all_models_agree,False,True,"All checked submissions agree, but this is not locked because public F1 is low."
140,Putting Perspective into OWL [Sic]: Complexity-Neutral Standpoint Reasoning for Ontology Languages via Monodic S5 over Counting Two-Variable First-Order Logic.,kr,2025,10.24963/kr.2025/36,2,2,2,2,2,consensus_candidate_all_models_agree,False,True,"All checked submissions agree, but this is not locked because public F1 is low."
160,Rewriting Optimization Statements in Answer-Set Programs.,iclp,2016,10.1145/3340531.3411911,5,5,5,5,5,consensus_candidate_all_models_agree,False,True,"All checked submissions agree, but this is not locked because public F1 is low."
185,An ASP Framework for Efficient Urban Traffic Optimization.,iclp,2022,10.4204/eptcs.364.37,3,3,3,3,3,consensus_candidate_all_models_agree,False,True,"All checked submissions agree, but this is not locked because public F1 is low."
193,A Sound and Complete Axiomatisation for Intuitionistic Linear Temporal Logic.,kr,2024,10.24963/kr.2024/33,2,2,2,2,2,consensus_candidate_all_models_agree,False,True,"All checked submissions agree, but this is not locked because public F1 is low."
205,An application of Answer Set Programming in Distributed Architectures: ASP Microservices.,iclp,2020,10.4204/eptcs.325.28,5,5,5,5,5,consensus_candidate_all_models_agree,False,True,"All checked submissions agree, but this is not locked because public F1 is low."
211,VERUS-LM: a Versatile Framework for Combining LLMs with Symbolic Reasoning.,iclp,2025,10.4204/eptcs.439.5,3,3,3,3,3,consensus_candidate_all_models_agree,False,True,"All checked submissions agree, but this is not locked because public F1 is low."
221,Achieving High Quality Knowledge Acquisition using Controlled Natural Language.,iclp,2017,10.1007/978-3-642-14418-9_3,4,4,4,4,4,consensus_candidate_all_models_agree,False,True,"All checked submissions agree, but this is not locked because public F1 is low."
274,Interactive Exploration of Plan Spaces.,kr,2025,10.12681/eadd/36568,2,2,2,2,2,consensus_candidate_all_models_agree,False,True,"All checked submissions agree, but this is not locked because public F1 is low."
294,Logical Distillation of Graph Neural Networks.,kr,2024,10.24963/kr.2024/86,3,3,3,3,3,consensus_candidate_all_models_agree,False,True,"All checked submissions agree, but this is not locked because public F1 is low."
297,"Monotone Rewritability and the Analysis of Queries, Views, and Rules.",kr,2024,10.24963/kr.2024/11,2,2,2,2,2,consensus_candidate_all_models_agree,False,True,"All checked submissions agree, but this is not locked because public F1 is low."
328,On the Expressiveness of Spatial Constraint Systems.,iclp,2016,10.70675/6bc651c8ze78bz45dez9b34z8fe4450cb7ac,1,1,1,1,1,consensus_candidate_all_models_agree,False,True,"All checked submissions agree, but this is not locked because public F1 is low."
329,Expanding the Class of Polynomial Time Computable Well-Founded Semantics for Hybrid MKNF.,iclp,2023,10.3233/978-1-58603-891-5-99,1,1,1,1,1,consensus_candidate_all_models_agree,False,True,"All checked submissions agree, but this is not locked because public F1 is low."
360,Natural Language Question Answering with Goal-directed Answer Set Programming.,iclp,2021,10.1609/aaai.v33i01.33013003,5,5,5,5,5,consensus_candidate_all_models_agree,False,True,"All checked submissions agree, but this is not locked because public F1 is low."
368,A Rule-Based System for Explainable Donor-Patient Matching in Liver Transplantation.,iclp,2019,10.4204/eptcs.306.31,5,5,5,5,5,consensus_candidate_all_models_agree,False,True,"All checked submissions agree, but this is not locked because public F1 is low."
385,A Compositional Typed Higher-Order Logic with Definitions.,iclp,2016,10.1017/cbo9781139021326.006,2,2,2,2,2,consensus_candidate_all_models_agree,False,True,"All checked submissions agree, but this is not locked because public F1 is low."
406,Flexible and Explainable Solutions for Multi-Agent Path Finding Problems.,iclp,2021,10.4204/eptcs.345.40,4,4,4,4,4,consensus_candidate_all_models_agree,False,True,"All checked submissions agree, but this is not locked because public F1 is low."
411,Epistemic Logic Programs with World View Constraints.,iclp,2018,10.29007/sclq,2,2,2,2,2,consensus_candidate_all_models_agree,False,True,"All checked submissions agree, but this is not locked because public F1 is low."
418,"Proceedings 37th International Conference on Logic Programming (Technical Communications), ICLP Technical Communications 2021, Porto (virtual event), 20-27th September 2021.",iclp,2021,10.4204/eptcs.345.10,1,1,1,1,1,consensus_candidate_all_models_agree,False,True,"All checked submissions agree, but this is not locked because public F1 is low."
465,Large Neighborhood Prioritized Search for Combinatorial Optimization with Answer Set Programming.,kr,2024,10.24963/kr.2024/72,5,5,5,5,5,consensus_candidate_all_models_agree,False,True,"All checked submissions agree, but this is not locked because public F1 is low."
527,Summary on &quot;Hybrid Neuro-Symbolic Approach for Text-Based Games using Inductive Logic&quot;.,iclp,2022,10.1145/3291621,4,4,4,4,4,consensus_candidate_all_models_agree,False,True,"All checked submissions agree, but this is not locked because public F1 is low."
548,Answer Set Programming for Qualitative Spatio-Temporal Reasoning: Methods and Experiments.,iclp,2016,10.1109/ictai.2012.87,5,5,5,5,5,consensus_candidate_all_models_agree,False,True,"All checked submissions agree, but this is not locked because public F1 is low."
566,"Proceedings of the 22nd International Conference on Principles of Knowledge Representation and Reasoning, KR 2025, Melbourne, Australia, November 1-17, 2025",kr,2025,10.24963/kr.2025,1,1,1,1,1,consensus_candidate_all_models_agree,False,True,"All checked submissions agree, but this is not locked because public F1 is low."
45,Speeding up Lazy-Grounding Answer Set Solving.,iclp,2018,10.29007/dt1r,4,4,4,4,1,consensus_candidate_top_models_agree,False,True,"Top/reference submissions agree, but this is not locked because consensus may still be wrong."
51,Penalization Framework For Autonomous Agents Using Answer Set Programming.,iclp,2023,10.4204/eptcs.385.50,4,4,4,4,2,consensus_candidate_top_models_agree,False,True,"Top/reference submissions agree, but this is not locked because consensus may still be wrong."
76,Logic Programming for XAI: A Technical Perspective.,iclp,2021,10.1007/978-3-642-60085-2_14,4,4,4,4,5,consensus_candidate_top_models_agree,False,True,"Top/reference submissions agree, but this is not locked because consensus may still be wrong."
110,Solving Argumentation Problems Using Answer Set Programming with Quantifiers: Preliminary Report.,iclp,2024,10.1017/s1471068419000474,4,4,4,4,1,consensus_candidate_top_models_agree,False,True,"Top/reference submissions agree, but this is not locked because consensus may still be wrong."
145,P-rho-Log: Combining Logic Programming with Conditional Transformation Systems.,iclp,2016,10.7551/mitpress/4316.003.0033,1,1,1,1,3,consensus_candidate_top_models_agree,False,True,"Top/reference submissions agree, but this is not locked because consensus may still be wrong."
207,"Counterfactual and Semifactual Explanations in Abstract Argumentation: Formal Foundations, Complexity and Computation.",kr,2024,10.24963/kr.2024/2,3,3,3,3,5,consensus_candidate_top_models_agree,False,True,"Top/reference submissions agree, but this is not locked because consensus may still be wrong."
256,ASP and PDDL+ Applications in Urban Traffic Distribution and Control.,iclp,2025,10.1609/socs.v18i1.36005,4,4,4,4,1,consensus_candidate_top_models_agree,False,True,"Top/reference submissions agree, but this is not locked because consensus may still be wrong."
432,A Framework for Defining Behavior Modes in Policy-Aware Autonomous Agents.,iclp,2024,10.1145/375735.376404,2,2,2,2,1,consensus_candidate_top_models_agree,False,True,"Top/reference submissions agree, but this is not locked because consensus may still be wrong."
439,Building Health Policy Enforcement Solution Based on HL7 FHIR.,iclp,2021,10.3233/978-1-61499-645-3-100,1,1,1,1,2,consensus_candidate_top_models_agree,False,True,"Top/reference submissions agree, but this is not locked because consensus may still be wrong."
468,Understanding Restaurant Stories Using an ASP Theory of Intentions.,iclp,2017,10.1017/s1471068419000048,5,5,5,5,1,consensus_candidate_top_models_agree,False,True,"Top/reference submissions agree, but this is not locked because consensus may still be wrong."
485,How well do SOTA legal reasoning models support abductive reasoning?,iclp,2023,10.2307/jj.30297486.9,5,5,5,5,3,consensus_candidate_top_models_agree,False,True,"Top/reference submissions agree, but this is not locked because consensus may still be wrong."
562,The Learning-Knowledge-Reasoning Paradigm for Natural Language Understanding and Question Answering.,iclp,2018,10.18653/v1/2023.nlrse-1.7,5,5,5,5,4,consensus_candidate_top_models_agree,False,True,"Top/reference submissions agree, but this is not locked because consensus may still be wrong."
570,Logic Programming with Max-Clique and its Application to Graph Coloring (Tool Description).,iclp,2017,10.1007/s10107-006-0026-z,3,3,3,3,1,consensus_candidate_top_models_agree,False,True,"Top/reference submissions agree, but this is not locked because consensus may still be wrong."
93,Establish Coherence in Logic Programs Modelling Expert Knowledge via Argumentation.,iclp,2021,10.1007/bfb0054794,5,5,5,1,3,suspicious_disagreement,False,True,Submissions disagree.
156,VECSR: Virtually Embodied Common Sense Reasoning System.,iclp,2025,10.4204/eptcs.439.7,3,3,3,5,5,suspicious_disagreement,False,True,Submissions disagree.
217,Towards Incorporating Normative Requirements In Autonomous Systems Using Datalog.,iclp,2025,10.5220/0006702404630474,1,1,2,1,3,suspicious_disagreement,False,True,Submissions disagree.
438,Action Model Learning with Guarantees.,kr,2024,10.24963/kr.2024/75,2,2,5,2,1,suspicious_disagreement,False,True,Submissions disagree.
509,A Rule-Based Approach to Specifying Preferences over Conflicting Facts and Querying Inconsistent Knowledge Bases.,kr,2025,10.24963/kr.2025/17,5,5,4,5,3,suspicious_disagreement,False,True,Submissions disagree.
568,Syntactic Requirements for Well-defined Hybrid Probabilistic Logic Programs.,iclp,2021,10.4204/eptcs.345.12,2,2,5,5,4,suspicious_disagreement,False,True,Submissions disagree.
