title,venue,year,authors,doi,Label,id,abstract
Exploring Neurosymbolic Systems in Answer Set Programming with an Application to Waste Water Monitoring.,iclp,2025,"Steffen Schieweck, Gabriele Kern-Isberner, Michael ten Hompel",10.5220/0006489300250034,5,510,"Intelligent, self-driving vehicles on public roads are widely noted in the media nowadays. In warehouse and production systems, such vehicles have been common for a number of years, even though their intelligence has only come to awareness in the recent years. Those systems are especially tailored to work in volatile environments which change (to some degree) every few weeks or months. Thus, programming is required to be as flexible as possible while still providing high efficiency. Answer set programming is a well known paradigm which has received remarkable attention in the recent years. In this paper several approaches are presented and evaluated to apply answer set programming to an order-picking system with intelligent vehicles. The interconnected planning tasks are the dispatching of vehicles to driving jobs and the assignment of customer orders to picking stations."
On Simple Expectations and Observations of Intelligent Agents: A Complexity Study.,kr,2023,"Sourav Chakraborty, Avijeet Ghosh, Sujata Ghosh, François Schwarzentruber",10.24963/kr.2023/14,4,451,Public observation logic (POL) reasons about agent expectations and agent observations in various real world situations. The expectations of agents take shape based on certain protocols about the w...
"Proceedings 38th International Conference on Logic Programming, ICLP 2022 Technical Communications / Doctoral Consortium, Haifa, Israel, 31st July 2022 - 6th August 2022.",iclp,2022,,10.1007/978-3-031-26622-5,1,29,"The DaLi 2022 proceedings deal with the field of dynamic logic, its variants and applications, e.g. quantum dynamic logic, Kleene and action algebras."
Testing of Concurrent Programs.,iclp,2016,Valerio Terragni,10.14711/thesis-b1778938,1,134,"Rapid advances in multi-core chip technology have lead to pervasive adoption of shared-memory concurrent programming, where software is jointly executed by multiple threads in a shared memory space. The inherent complexity of thread synchronization makes the evolution of concurrent programs error-prone, because code modification can affect how threads synchronize, which in turn can induce concurrent faults. Regression testing is an important activity performed to guard against faults introduced by code changes. It is often performed by re-executing those existing tests that run successfully before code modification. If these tests trigger an unexpected failure, developers know that the code modification has introduced a regression fault. However, this approach has two fundamental problems that make it inefficient and ineffective to expose regression faults: (1) Re-executing all the existing tests often requires long execution times, which can easily exceed the affordable time budget. (2) Existing tests might not be adequate to expose regression faults - in this case developers have to write additional tests, which is costly and labor intensive. This situation is aggravated for concurrent programs whose executions have non-deterministic behaviours, depending on the manifested thread interleavings. To address these problems, in this thesis, we propose first a technique to reduce the execution times of regression testing concurrent programs by exploring only those interleavings that could reveal regression faults. Further, we propose a technique to alleviate the developers's burden of writing new concurrent tests manually. We also present a combination of these two techniques to generate effective tests and oracles that expose and detect regression faults in concurrent programs."
Determining Action Reversibility in STRIPS Using Answer Set Programming.,iclp,2020,"WOLFGANG FABER, MICHAEL MORAK, LUKÁŠ CHRPA",10.1017/s1471068421000429,3,321,Determining Action Reversibility in STRIPS Using Answer Set and Epistemic Logic Programming - Volume 21 Issue 5
Domain-Independent Instance Generation for Classical Planning.,kr,2025,"Claudia Grundke, Malte Helmert, Gabriele Röger",10.24963/kr.2025/77,5,171,Learning-based planning systems learn domain-specific knowledge that helps them to solve unseen tasks from the same planning domain. For this purpose they require a diverse set of training instance...
On Teaching Constraint-based Modeling and Algorithms for Decision Support in Prolog.,iclp,2024,"Huaiqing Wang, Stephen Liao, Lejian Liao",10.1016/s0167-9236(01)00138-5,4,357,"Most existing decision support systems (DSSs) are hard to fit satisfactorily into emerging working practices or organizational environments. Decision-making is becoming more pluralistic and less hierarchical, determined not so much by position in the corporate hierarchy but much by the argumentative and evidential value. Such decision-making can only be supported by those DSSs with negotiation support facilities. Intelligent negotiation agents can be used to model many decision-making negotiation tasks. Such negotiation agents are able to interact and negotiate with users and with each other. In addition, the newly emerging constraint agent technology provides a promising solution for such negotiation agents. In this paper, we present a model by applying constraint negotiation agents for DSSs. An object-oriented constraint language for modeling constraint agents is defined. Within our model, constraint DSS agents are able to reason cooperatively with users or with other agents. Negotiation among agents and users is modeled as a process of interactive constraint satisfaction. Efficient algorithms for the implementation of negotiation-oriented constraint satisfaction are also presented. As manpower costs become more and more expensive and as the negotiation workload increases, the future DSSs will play more important roles in the negotiation process. It is expected that our work will contribute to the future DSS design and development."
Relational Graph Convolutional Networks Do Not Learn Sound Rules.,kr,2024,"Matthew Morris, David J. Tena Cucala, Bernardo Cuenca Grau, Ian Horrocks",10.24963/kr.2024/84,4,13,"Graph neural networks (GNNs) are frequently used to predict missing facts in knowledge graphs (KGs). Motivated by the lack of explainability for the outputs of these models, recent work has aimed t..."
On the Correspondence Between Monotonic Max-Sum GNNs and Datalog.,kr,2023,"David Tena Cucala, Bernardo Cuenca Grau, Boris Motik, Egor V. Kostylev",10.24963/kr.2023/64,4,417,"Although there has been significant interest in applying machine learning techniques to structured data, the expressivity (i.e., a description of what can be learned) of such techniques is still po..."
Contracted Temporal Equilibrium Logic.,kr,2024,"Pedro Cabalar, Thomas Eiter, Davide Soldà",10.24963/kr.2024/21,3,404,"The stable model semantics of logic programs has been characterized by Equilibrium Logic, which is a non-monotonic formalism that selects models from the (monotonic) intermediate logic of Here-and-..."
Improving Candidate Quality of Probabilistic Logic Models.,iclp,2018,Alex M. Andrew,10.1108/k.2000.06729iae.003,3,481,"The text presents logic and probabilistic techniques for computer modelling and analytical study of risks of losses in banks and ventures. The authors claim that in a field of credit risk evaluation the logic and probabilistic techniques may guarantee twofold more accuracy and sevenfold more robustness of credit classification than conventional methods. Namely, it is demonstrated theoretically, as well as by example, that now classical techniques of neural network based classification, using tabular representation of ""object-attribute""mapping, may lose in precision when competing with techniques offered in this book. A complex problem of quantitative evaluation of a risk of losses is linked to classification and estimation tasks. A theory of logic and probabilistic modelling of failure risks in the groups of incompatible events is introduced. Learning and identification techniques of designing reflexive logical models from statistical data are discussed. An outline of software implementation of the logic and probabilistic models is presented. The book is aimed at analysts in banks and ventures, students in business schools and postgraduate researchers, all those interested in numerical estimation and analysis of failure risks."
Extracting Policies from Quantified Answer Set Programs.,iclp,2025,"Martín Diéguez, Igor Stéphan",10.4204/eptcs.439.16,5,74,"Quantified Answer Set Programming (QASP) extends Answer Set Programming (ASP) by allowing quantification over propositional variables, similar to Quantified Boolean Formulas (QBF). In this paper, we interpret models of QASP formulas in terms of policies, which represent decision-making strategies that determine how existentially quantified variables should be assigned, given the conditions set by universally quantified variables. As a main contribution, we present an algorithm for policy extraction under QASP semantics, inspired by the Equilibrium Logic semantics for general ASP theories."
On Combining Collective Entity Resolution and Repairing (Extended Abstract).,kr,2023,"Meghyn Bienvenu, Gianluca Cima, Víctor Gutiérrez-Basulto",10.24963/ijcai.2023/349,3,361,"This paper considers the problem of querying dirty databases, which may contain both erroneous facts and multiple names for the same entity. While both of these data quality issues have been widely studied in isolation, our contribution is a holistic framework for jointly deduplicating and repairing data. Our REPLACE framework follows a declarative approach, utilizing logical rules to specify under which conditions a pair of entity references can or must be merged and logical constraints to specify consistency requirements. The semantics defines a space of solutions, each consisting of a set of merges to perform and a set of facts to delete, which can be further refined by applying optimality criteria. As there may be multiple optimal solutions, we use classical notions of possible and certain query answers to reason over the alternative solutions, and introduce a novel notion of most informative answer to obtain a more compact presentation of query results. We perform a detailed analysis of the data complexity of the central reasoning tasks of recognizing optimal solutions and (most informative) possible and certain answers, for each of the three notions of optimal solution and for both general and restricted specifications."
Navigating and Querying Answer Sets: How Hard Is It Really and Why?,kr,2024,"Dominik Rusovac, Markus Hecher, Martin Gebser, Sarah Alice Gaggl, Johannes K. Fichte",10.24963/kr.2024/60,5,409,Answer set programming is a popular declarative paradigm with countless applications for modeling and solving combinatorial problems. We can view a program as a knowledge database compactly represe...
Explanations for Unrealizability of Infinite-State Safety Shields.,kr,2025,"Andoni Rodríguez, Irfansha Shaik, Davide Corsi, Roy Fox, César Sánchez",10.24963/kr.2025/83,2,56,"Safe Reinforcement Learning focuses on developing optimal policies while ensuring safety. A popular method to address such task is shielding, in which a correct-by-construction safety component ..."
Emerson-Lei and Manna-Pnueli Games for LTLf+ and PPLTL+ Synthesis.,kr,2025,"Daniel Hausmann, Shufang Zhu, Gianmarco Parretti, Christoph Weinhuber, Giuseppe De Giacomo, Nir Piterman",10.24963/kr.2025/78,1,203,"Recently, the Manna-Pnueli Hierarchy has been used to define the temporal logics LTLf+ and PPLTL+, which allow to use finite-trace LTLf/PPLTL techniques in infinite-trace settings while achieving t..."
Commonsense Reasoning-Aided Autonomous Vehicle Systems.,iclp,2024,Keegan Kimbrell,10.4204/eptcs.416.36,1,103,"Autonomous Vehicle (AV) systems have been developed with a strong reliance on machine learning techniques. While machine learning approaches, such as deep learning, are extremely effective at tasks that involve observation and classification, they struggle when it comes to performing higher level reasoning about situations on the road. This research involves incorporating commonsense reasoning models that use image data to improve AV systems. This will allow AV systems to perform more accurate reasoning while also making them more adjustable, explainable, and ethical. This paper will discuss the findings so far and motivate its direction going forward."
Precise Exponential-Time Complexity of Non-Monotonic Reasoning.,iclp,2025,Georg Gottlob,10.7551/mitpress/4307.003.0022,3,448,"In this talk I present a selection of recent results on the complexity of different decision problerns arising in nonmonotonic reasoning and logic programming. In particular, I deal with circumscription, autoepi- stemic logic, default logic, McDermott-style nonmonotonic logics, ab- ductive reasoning, theory revision and disjunctive logic programming. It turns out that for each of these forms of reasoning, the complexity in the general case is one level harder in the polynomial hierarchy than classical propositional deduction. Most problems are complete for E2 or II"", but particular variants of nonmonotonic reasoning are complete for exotic complexity classes such as PNP[O(logn)] and 42. Many researchers believe that determining the complexity of a pro- blem P merely consists in attaching to this problem a quantitative mea- sure, namely the degree of its tractability in the worst case. In the se- cond part of the talk, I will argue that a worst case complexity analysis gives us usually far more, namely, a very good qualitative understanding of the problem P. This qualitative knowledge can be fruitfully applied for designing algorithms or for understanding the relationship between several forms of logic programming and nonmonotonic reasoning. After a discussion of some open problems, the talk is concluded with directions for further research."
Semantically Guided Scene Generation via Contextual Reasoning and Algebraic Measures.,iclp,2023,Wenhao Ding,10.1109/tits.2024.3510515/mm1,2,269,"Generating adversarial scenes that potentially fail autonomous driving systems provides an effective way to improve their robustness. Extending purely data-driven generative models, recent specialized models satisfy additional controllable requirements such as embedding a traffic sign in a driving scene by manipulating patterns implicitly at the neuron level. In this paper, we introduce a method to incorporate domain knowledge explicitly in the generation process to achieve Semantically Adversarial Generation (SAG). To be consistent with the composition of driving scenes, we first categorize the knowledge into two types, the property of objects and the relationship among objects. We then propose a tree-structured variational auto-encoder (T-VAE) to learn hierarchical scene representation. By imposing semantic rules on the properties of nodes and edges into the tree structure, explicit knowledge integration enables controllable generation. To demonstrate the advantage of structural representation, we construct a synthetic example to illustrate the controllability and explainability of our method in a succinct setting. We further extend to realistic environments for autonomous vehicles, showing that our method efficiently identifies adversarial driving scenes against different state-of-the-art 3D point cloud segmentation models and satisfies the constraints specified as explicit knowledge."
Cumulative Scoring-Based Induction of Default Theories.,iclp,2018,,10.1002/eng2.70433/v1/review2,1,3,"The participation of distributed energy resources in demand response enriches the manners of power grid dispatching. However, due to the profit-seeking behaviors of some demand response suppliers, the cleared trading volumes may not be executed as expected. Therefore, this paper proposes a deep learning-based credit scoring method for reducing profit-seeking default behaviors in demand response. First, a modified demand response model is constructed considering the default probability of DRSs to simulate the interaction between the distribution network trading coordinator and demand response suppliers. Then, to evaluate the default probability, a transaction credit and market value-based default probability evaluation model is proposed. Because of the complexity of data acquisition, the credit evaluation may be biased. Thus, a deep learning-based credit scoring method is proposed for objectively quantifying credit of the transaction stakeholders, which can be efficiently applied in a variety of complex data types. Finally, simulations on an urban area with an industrial zone, two commercial zones, and a residential zone are shown to illustrate the validity of the proposed method."
Theory Revision with Goal-directed ASP.,iclp,2021,,10.1017/cbo9781107257115.023,5,424,
Lazy Stream Programming in Prolog.,iclp,2019,"Paul Tarau, Jan Wielemaker, Tom Schrijvers",10.4204/eptcs.306.26,4,263,"In recent years, stream processing has become a prominent approach for incrementally handling large amounts of data, with special support and libraries in many programming languages. Unfortunately, support in Prolog has so far been lacking and most existing approaches are ad-hoc. To remedy this situation, we present lazy stream generators as a unified Prolog interface for stateful computations on both finite and infinite sequences of data that are produced incrementally through I/O and/or algorithmically. We expose stream generators to the application programmer in two ways: 1) through an abstract sequence manipulation API, convenient for defining custom generators, and 2) as idiomatic lazy lists, compatible with many existing list predicates. We define an algebra of stream generator operations that extends Prolog via an embedded language interpreter, provides a compact notation for composing generators and supports moving between the two isomorphic representations. As a special instance, we introduce answer stream generators that encapsulate the work of coroutining first-class logic engines and support interoperation between forward recursive AND-streams and backtracking-generated OR-streams. Keywords: lazy stream generators, lazy lists, first-class logic engines, stream combinators, AND-stream / OR-stream interoperation, Prolog extensions"
ASP Chef: Draw and Expand.,kr,2024,"Mario Alviano, Luis Angel Rodriguez Reiners",10.24963/kr.2024/68,5,320,"ASP Chef is a versatile tool built upon the principles of Answer Set Programming (ASP), offering a unique approach to problem-solving through the concept of ASP recipes. In this paper, we explore ..."
Product Configuration in Answer Set Programming.,iclp,2021,Seemran Mishra,10.4204/eptcs.345.46,4,172,"This is a preliminary work on configuration knowledge representation which serves as a foundation for building interactive configuration systems in Answer Set programming (ASP). The major concepts of the product configuration problem are identified and discussed with a bike configuration example. A fact format is developed for expressing product knowledge that is domain-specific and can be mapped from other systems. Finally, a domain-independent ASP encoding is provided that represents the concepts in the configuration problem."
An Implementation of a Non-monotonic Logic in an Embedded Computer for a Motor-glider.,iclp,2019,"José Luis Vilchis Medina, Pierre Siegel, Vincent Risch, Andrei Doncescu",10.4204/eptcs.306.37,2,579,"In this article we present an implementation of non-monotonic reasoning in an embedded system. As a part of an autonomous motor-glider, it simulates piloting decisions of an airplane. A real pilot must take care not only about the information arising from the cockpit (airspeed, altitude, variometer, compass...) but also from outside the cabin. Throughout a flight, a pilot is constantly in communication with the control tower to follow orders, because there is an airspace regulation to respect. In addition, if the control tower sends orders while the pilot has an emergency, he may have to violate these orders and airspace regulations to solve his problem (e.g. emergency landing). On the other hand, climate changes constantly (wind, snow, hail..) and can affect the sensors. All these cases easily lead to contradictions. Switching to reasoning under uncertainty, a pilot must make decisions to carry out a flight. The objective of this implementation is to validate a non-monotonic model which allows to solve the question of incomplete and contradictory information. We formalize the problem using default logic, a non-monotonic logic which allows to find fixed-points in the face of contradictions. For the implementation, the Prolog language is used in an embedded computer running at 1 GHz single core with 512 Mb of RAM and 0.8 watts of energy consumption."
aspmc: An Algebraic Answer Set Counter.,iclp,2021,"Thomas Eiter, Markus Hecher, Rafael Kiesel",10.1016/j.artint.2024.104109,3,493,
A Category-Theoretic Perspective on Approximation Fixpoint Theory.,iclp,2024,Samuele Pollaci,10.4204/eptcs.416.37,4,326,"Approximation Fixpoint Theory (AFT) was founded in the early 2000s by Denecker, Marek, and Truszczyński as an abstract algebraic framework to study the semantics of non-monotonic logics. Since its early successes, the potential of AFT as a unifying semantic framework has become widely recognised, and the interest in AFT has gradually increased, with applications now ranging from foundations of database theory to abstract argumentation. The non-monotonic constructive processes that occur in many more areas of computer science, together with their associated semantic structures, can be successfully studied using AFT, which greatly simplifies their characterizations. The goal of my research is to take a step towards the lifting of AFT into a more general framework for constructive knowledge."
Dialectical Reconciliation via Structured Argumentative Dialogues.,kr,2024,"Stylianos Loukas Vasileiou, Ashwin Kumar, William Yeoh, Tran Cao Son, Francesca Toni",10.24963/kr.2024/73,1,543,"We present a novel framework designed to extend model reconciliation approaches, commonly used in human-aware planning, for enhanced human-AI interaction. By adopting a structured argumentation-bas..."
Exploring Digital Twins integration with ASP and ASP Chef.,iclp,2025,Fiona Rossette-Crake,10.4000/15c2h,4,582,
Reasoning with Restricted Statistical Statements in Probabilistic Answer Set Programming: Complexity and Algorithms.,kr,2025,"Damiano Azzolini, Markus Hecher",10.24963/kr.2025/6,4,552,"Statistical statements are an expressive tool for representing statistical information of a domain of interest. Recently, these statements were given a meaning in the context of Probabilistic A..."
Fixpoint Characterizations of Disjunctive Hybrid MKNF Knowledge Bases.,iclp,2021,"Spencer Killen, Jia-Huai You",10.4204/eptcs.364.6,1,512,"The logic of hybrid MKNF (minimal knowledge and negation as failure) is a powerful knowledge representation language that elegantly pairs ASP (answer set programming) with ontologies. Disjunctive rules are a desirable extension to normal rule-based reasoning and typically semantic frameworks designed for normal knowledge bases need substantial restructuring to support disjunctive rules. Alternatively, one may lift characterizations of normal rules to support disjunctive rules by inducing a collection of normal knowledge bases, each with the same body and a single atom in its head. In this work, we refer to a set of such normal knowledge bases as a head-cut of a disjunctive knowledge base. The question arises as to whether the semantics of disjunctive hybrid MKNF knowledge bases can be characterized using fixpoint constructions with head-cuts. Earlier, we have shown that head-cuts can be paired with fixpoint operators to capture the two-valued MKNF models of disjunctive hybrid MKNF knowledge bases. Three-valued semantics extends two-valued semantics with the ability to express partial information. In this work, we present a fixpoint construction that leverages head-cuts using an operator that iteratively captures three-valued models of hybrid MKNF knowledge bases with disjunctive rules. This characterization also captures partial stable models of disjunctive logic programs since a program can be expressed as a disjunctive hybrid MKNF knowledge base with an empty ontology. We elaborate on a relationship between this characterization and approximators in AFT (approximation fixpoint theory) for normal hybrid MKNF knowledge bases."
Natural Language Generation for Non-Expert Users.,iclp,2019,"Van Duc Nguyen, Tran Cao Son, Enrico Pontelli",10.4204/eptcs.306.33,5,48,"Motivated by the difficulty in presenting computational results, especially when the results are a collection of atoms in a logical language, to users, who are not proficient in computer programming and/or the logical representation of the results, we propose a system for automatic generation of natural language descriptions for applications targeting mainstream users. Differently from many earlier systems with the same aim, the proposed system does not employ templates for the generation task. It assumes that there exist some natural language sentences in the application domain and uses this repository for the natural language description. It does not require, however, a large corpus as it is often required in machine learning approaches. The systems consist of two main components. The first one aims at analyzing the sentences and constructs a Grammatical Framework (GF) for given sentences and is implemented using the Stanford parser and an answer set program. The second component is for sentence construction and relies on GF Library. The paper includes two use cases to demostrate the capability of the system. As the sentence construction is done via GF, the paper includes a use case evaluation showing that the proposed system could also be utilized in addressing a challenge to create an abstract Wikipedia, which is recently discussed in the BlueSky session of the 2018 International Semantic Web Conference."
Treewidth in Non-Ground Answer Set Solving and Alliance Problems in Graphs.,iclp,2017,"Bernhard Bliem, Michael Morak, Marius Moldovan, Stefan Woltran",10.1613/jair.1.11515,2,376,"In this paper, we aim to study how the performance of modern answer set programming (ASP) solvers is influenced by the treewidth of the input program and to investigate the consequences of this relationship. We first perform an experimental evaluation that shows that the solving performance is heavily influenced by treewidth, given ground input programs that are otherwise uniform, both in size and construction. This observation leads to an important question for ASP, namely, how to design encodings such that the treewidth of the resulting ground program remains small. To this end, we study two classes of disjunctive programs, namely guarded and connection-guarded programs. In order to investigate these classes, we formalize the grounding process using MSO transductions. Our main results show that both classes guarantee that the treewidth of the program after grounding only depends on the treewidth (and the maximum degree, in case of connection-guarded programs) of the input instance. In terms of parameterized complexity, our findings yield corresponding FPT results for answer-set existence for bounded treewidth (and also degree, for connection-guarded programs) of the input instance. We further show that bounding treewidth alone leads to NP-hardness in the data complexity for connection-guarded programs, which indicates that the two classes are fundamentally different. Finally, we show that for both classes, the data complexity remains as hard as in the general case of ASP."
"Proceedings of the 21st International Conference on Principles of Knowledge Representation and Reasoning, KR 2024, Hanoi, Vietnam. November 2-8, 2024.",kr,2024,,10.24963/kr.2024,1,590,
Knowledge Authoring with Factual English.,iclp,2022,"Yuheng Wang, Giorgian Borca-Tasciuc, Nikhil Goel, Paul Fodor, Michael Kifer",10.4204/eptcs.364.10,3,523,"Knowledge representation and reasoning (KRR) systems represent knowledge as collections of facts and rules. Like databases, KRR systems contain information about domains of human activities like industrial enterprises, science, and business. KRRs can represent complex concepts and relations, and they can query and manipulate information in sophisticated ways. Unfortunately, the KRR technology has been hindered by the fact that specifying the requisite knowledge requires skills that most domain experts do not have, and professional knowledge engineers are hard to find. One solution could be to extract knowledge from English text, and a number of works have attempted to do so (OpenSesame, Google's Sling, etc.). Unfortunately, at present, extraction of logical facts from unrestricted natural language is still too inaccurate to be used for reasoning, while restricting the grammar of the language (so-called controlled natural language, or CNL) is hard for the users to learn and use. Nevertheless, some recent CNL-based approaches, such as the Knowledge Authoring Logic Machine (KALM), have shown to have very high accuracy compared to others, and a natural question is to what extent the CNL restrictions can be lifted. In this paper, we address this issue by transplanting the KALM framework to a neural natural language parser, mStanza. Here we limit our attention to authoring facts and queries and therefore our focus is what we call factual English statements. Authoring other types of knowledge, such as rules, will be considered in our followup work. As it turns out, neural network based parsers have problems of their own and the mistakes they make range from part-of-speech tagging to lemmatization to dependency errors. We present a number of techniques for combating these problems and test the new system, KALMFL (i.e., KALM for factual language), on a number of benchmarks, which show KALMFL achieves correctness in excess of 95%."
Explaining Image Classifiers.,kr,2024,"Hana Chockler, Joseph Y. Halpern",10.24963/kr.2024/25,5,426,"We focus on explaining image classifiers, taking the work of Mothilal et al. 2021 (MMTS) as our point of departure. We observe that, although MMTS claim to be using the definition of explanation p..."
Entity set expansion from the Web via ASP.,iclp,2017,"Weronika Adrian, Paweł Caryk",10.5220/0010715100003058,5,212,
Encoding Choice Logics in ASP.,iclp,2020,Luca Viganò,10.1007/978-1-4757-3208-5_5,4,317,We have used the generic theorem prover Isabelle [181] to implement the non-classical logis we presented. The logical basis of Isabelle is a natural deduction presentation of minimal implicational predicate logic with universal quantification over all higher-types...
"Front Matter, Table of Contents, Preface, Conference Organization.",iclp,2018,,10.1484/m.art-eb.5.138353,1,390,"Preview this chapter: Front Matter (""Preface"", ""Table of Contents""), Page 1 of 1 < Previous page | Next page > /docserver/preview/fulltext/10.1484/M.ART-EB.5.105705/M.ART-EB.5.138353-1.gif Hardbound ISBN: 978-90-70419-31-8 E-book ISBN: 978-2-503-56426-5 Book DOI : https://doi.org/10.1484/M.ART-EB.5.105705"
Generalizing Platform-Aware Mission Planning for Infinite-State Timed Transition Systems.,kr,2025,"Stefan Panjkovic, Alessandro Cimatti, Andrea Micheli, Stefano Tonetta",10.24963/kr.2025/81,2,502,"The Platform-Aware Mission Planning (PAMP) problem, formalizes the relationship between an automated temporal planning problem and an execution platform modeled as a Timed Automaton. The PAMP pr..."
